Full Name,Description,Job,Education Place,Native Language,Country,Father,Mother,Spouse,Birth Date,Death Date,Birth Place,Death Place,Death Method,Death Reason
Uma Anand,Indian Journalist And Actress,Journalist,,,India,,,Chetan Anand,1923-00-00,2009-11-13,Lahore,,,
Urmi Juvekar,Indian Film Director,Author,University Of Mumbai,,India,,,,,,Mumbai,,,
Usha Thorat,Indian Economist,Economist,Delhi School Of Economics,,India,,,,1950-02-20,,Chennai,,,
Tulsi Kumar,Indian Singer,Singer,,,India,Gulshan Kumar,,,1986-03-15,,New Delhi,,,
Vandna Makwana,Indian Politician,Politician,,,India,,,,,,,,,
Varsha Raffel,Cricketer,Cricketer,,,India,,,,1975-03-20,,Gorakhpur,,,
Vandana Singh,Indian Writer,Writer,,,India,,,,1950-01-01,,New Delhi,,,
Vedavathi Prabhakar,Singer,Singer,,,India,,,,,,,,,
Vasanti Muzumdar,Indian Writer,Writer,Sndt Women'S University,,India,,,,1939-00-00,2003-00-00,,,,
Vaishali Beck,Indian Singer,Singer,,,India,,,,1984-08-21,,Hinganghat,,,
Vibha Bhatnagar,Indo-British Film Producer,Film Producer,,,United Kingdom,,,,1963-09-11,,India,,,
Vidhubala,Malayalam Actress,Actor,,,India,,,,1954-05-24,,,,,
Vidyawati Chaturvedi,Indian Politician,Politician,,,India,,,,1926-12-06,2009-03-11,Kulpahar,Chhatarpur,,
Vibha Chibber,Indian Actress,Actor,National School Of Drama,,India,,,,,,Mumbai,,,
Vidya Shah,Singer And Musician,Songwriter,,,India,,,,,,,,,
Vimala Menon,Dancer,Dancer,Kerala Kalamandalam,,India,,,,1943-01-07,,Irinjalakuda,,,
Vinita Vasu,Indian Artist,Painter,,,India,,,,1975-11-20,,,,,
Viramachaneni Vimla Devi,Indian Politician,Politician,Scottish Church College,,India,,,,1928-07-15,1967-00-00,,,,
Malashri,Indian Actress,Actor,,,India,,,,1973-08-10,,Bengaluru,,,
Harwant Kaur,Athletics Competitor,Athletics Competitor,,,India,,,,1980-07-05,,,,,
Vaishali Desai,Indian Actress,Model,,,India,,,,1989-12-18,,Ahmedabad,,,
Jennifer Winget,Indian Film And Television Actress,Actor,,Hindi,India,,,Vivian Dsena,1985-05-30,,Goregaon,,,
Kamala Sankrityayan,Indian Writer,Historian,,,India,,,,1920-08-15,2009-10-25,Kalimpong,Darjeeling,,
Maya Alagh,Indian Actress,Actor,,,India,,,Sunil Alagh,,,,,,
Hemlata Gupta,Indian Doctor,Physician,Lady Hardinge Medical College,,India,,,,2000-00-00,2006-05-13,India,Karol Bagh Lok Sabha Constituency,Homicide,
V. Mohini Giri,Indian Activist,Social Worker,University Of Delhi,,India,,,,1938-01-15,,Lucknow,,,
Amruta Patki,Indian Model,Model,,,India,,,,1985-00-00,,,,,
Abburi Chayadevi,Telugu Writer,Children'S Writer,Osmania University,,India,,,,1933-10-13,2019-06-28,,,,
ఇళ్ళ ఆదిలక్ష్మి,Actor,Actor,,,India,,,,,,,,,
Purba Dam,Indian Singer,Singer,,,India,,,,,2020-09-19,,Kolkata,,
M.T. Padma,Kerala Politician,Politician,,,India,,,,1943-01-09,,,,,
Radha Raghavan,Indian Politician,Politician,,,India,,,,1961-06-03,,,,,
Geetha,Indian Actress,Actor,,,India,,,,1962-07-14,,Chennai,,,
Veena George,Indian Politician,Journalist,University Of Kerala,Malayalam,India,,,,1976-08-03,,Thiruvananthapuram,,,
Aruna Dhere,Female Writer From India,,,,India,,,,1957-02-02,,,,,
Shashi Bhatt,Badminton Player,Badminton Player,,,India,,,,1930-00-00,,,,,
Sobha Surendran,"Politician From Kerala, India",Politician,,,India,,,,,,Vadakkaanchery,,,
Sujatha Singh,Indian Diplomat,Diplomat,Delhi School Of Economics,,India,T. V. Rajeswar,,,1954-01-01,,India,,,
Kanhopatra,"Indian Writer, Musician",Poet,,,India,,,,,,Mangalwedha,Pandharpur,,
Madhushree,Indian Singer,Singer,Rabindra Bharati University,,India,,,,1969-11-02,,Kolkata,,,
Durga Shakti Nagpal,Indian Bureaucrat,Magistrate,Indira Gandhi Delhi Technical University For Women,,India,,,,1985-06-25,,Agra,,,
Lotika Sarkar,"Indian Feminist, Educator And Lawyer",Lawyer,Newnham College,,India,,,,1923-01-04,2013-02-23,West Bengal,Delhi,,
Sushmita Banerjee,"Writer, Memoirist, Women'S Rights Activist",Writer,,Bengali,India,,,,1964-01-01,2013-09-04,Kolkata,Sharana,Homicide,
M. R. Poovamma,Indian Athlete,Athletics Competitor,,,India,,,,1990-06-05,,Kodagu District,,,
Radha,Indian Actress Popular In The 80S And Early 90S,Actor,,,India,,,,1965-06-03,,Thiruvananthapuram,,,
Radha Balakrishnan,Indian Physicist,Physicist,University Of Delhi,,India,,,V. Balakrishnan,,,,,,
Bindu A. Bambah,Indian Physicist,Physicist,Panjab University,,India,,,,1956-12-19,,Amritsar,,,
Yamuna Krishnan,Scientist And Professor Of Indian Origin,Chemist,Indian Institute Of Science,,India,,,,1974-05-25,,,,,
Anuradha Misra,Indian Scientist,Researcher,Indian Institute Of Technology Kanpur,,India,,,,,,Ayodhya District,,,
Usha Ananthasubramanian,Indian Banker,Banker,University Of Madras,,India,,,,1960-10-01,,,,,
Meenakshi Lekhi,Indian Politician,Politician,"Hindu College, University Of Delhi",,India,,,Aman Lekhi,1967-04-30,,New Delhi,,,
Rohini Godbole,Indian Physicist,Academic,Stony Brook University,,India,,,,1952-01-01,,,,,
Tanvi Lad,Badminton Player,Badminton Player,,,India,,,,1993-01-30,,,,,
Meena Ganesh,Indian Businesswoman,Entrepreneur,Indian Institute Of Management Calcutta,,India,,,Krishnan Ganesh,1963-00-00,,Chennai,,,
Sarah Chakko,"Teacher, Historian And President Of The World Council Of Churches",Teacher,University Of Chicago,,India,,,,1905-02-13,1954-06-21,Thrissur,Lucknow,Natural Causes,Myocardial Infarction
Jacintha Abisheganaden,Singaporean Singer & Actress,Singer,,,India,,,,1957-10-03,,Singapore,,,
Rita Wolf,British-Indian Actress,Actor,,,India,,,,1960-02-25,,Kolkata,,,
Nyla Usha,Indian Actress,Actor,,,India,,,,1982-03-25,,Dubai,,,
Aishwarya Vidhya Raghunath,Carnatic Classical Musician,Singer,,,India,,,,,,Bengaluru,,,
Neeru Bajwa,Actress,Actor,,,India,,,,1980-08-26,,Vancouver,,,
Navni Parihar,Indian Actress,Actor,,,India,,,,1964-09-23,,Indore,,,
Kumkum,Indian Actress,Actor,,,India,,,,1934-04-22,2020-07-28,"Hussainabad, Jharkhand",Mumbai,,
Kavitha,Indian Actress,Actor,,,India,,,,1965-09-28,,,,,
నవీన. ఎస్,Indian Actress,Actor,,,India,,,,,,,,,
Jyoti Mishra,Odia Actress,Actor,,Odia,India,,,,1978-01-01,,,,,
Indrani Mishra,Indian (Odia) Singer,Singer,,,India,,,,1951-11-08,,,,,
Usha Rengaraju,Indian Data Scientist,Principal Data Scientist,Anna University - chennai,Tamil,India,,,,,,,,,
Snigdha Mohanty,Indian Actress,Actor,,Odia,India,,,,,,,,,
Kamal Rani,Indian Politician,Politician,Chhatrapati Shahu Ji Maharaj University,,India,,,,1958-05-03,2020-08-02,Lucknow,Sanjay Gandhi Post Graduate Institute Of Medical Sciences,,Covid-19
Trupti Das,Odia Singer,Singer,,,India,,,,,,,,,
Urmila Bhatt,Indian Actress,Actor,,,India,,,,1934-00-00,1997-02-22,Dehradun,Juhu,,
Mumtaz Begum,Indian Actress,Actor,,,India,,,,1923-04-07,,,,,
Sunita Chaudhary,Erste Autorikschafahrerin Delhis,,,,India,,,,2000-01-01,,,,,
Manasi Moghe,Indian Beauty Pageant Contestant,Actor,,,India,,,,1991-08-29,,Indore,,,
Prathibha Srikanth Murthy,Rape And Murder Victim,,,,India,,,,1977-05-01,2005-12-13,Karnataka,Bengaluru,Homicide,
Indiramma Iyengar,Philanthropist And Community Organizer,Philanthropist,,,India,,,H. R. Janardhana Iyengar,1914-09-09,2010-11-03,Kollegal,Mysore,,
Sukhda Misra,Indian Politician,Politician,,,India,,,,1941-10-15,,,,,
Dina Vakil,Indian Journalist And Editor,Writer,Columbia University,,India,,,,1946-00-00,,Mumbai,,,
Leela Damodara Menon,Indian Politician,Politician,,Malayalam,India,,,Damodara Menon,1923-01-04,1995-10-10,,,,
Leela Omchery,Indian Singer,Musicologist,,,British India,,,Omchery N. N. Pillai,1929-05-31,,Kanyakumari,,,
Kutti Revathi,Indian Poet,Poet,,,India,,,,1974-01-01,,Thiruverumbur,,,
Veena Anand,Indian Politician,Politician,,,India,,,,,,,,,
Anisha Ambrose,Indian Film Actress,Actor,,,India,,,,1988-08-22,,Visakhapatnam,,,
B. Jayashree,"Indian Actress, Singer, Theatre Personality",Actor,National School Of Drama,,India,,,,1950-06-09,,Bengaluru,,,
Nupur Asthana,Indian Film Director And Writer,Film Director,Sophia Polytechnic,,India,,,,,,Uttar Pradesh,,,
Dhanya Balakrishna,Indian Actor,Actor,,,India,,,,1991-08-06,,Bengaluru,,,
Ashagi Lamiya,Indian Actor And Photographer,Photographer,,,India,,,,1989-03-06,,Thalassery,,,
Naznin Faruque,Indian Politician,Politician,North-Eastern Hill University,,India,,,,1954-08-01,,,,,
Prabha Kishor Taviad,Member Of Parliament,Politician,"B.J. Medical College, Ahmedabad",,India,,,,1954-09-01,,,,,
Qudsia Tahseen,Indian Nematologist,Zoologist,Aligarh Muslim University,,India,,,,1964-12-15,,Azamgarh,,,
Zeenath,Indian Actress,Actor,,,India,,,K. T. Muhammed,1964-12-29,,Nilambur,,,
Nishtha Jain,Indian Film Director And Producer,Film Director,Film And Television Institute Of India,,India,,,,1965-06-21,,Barua Sagar,,,
Sarveen Choudhary,Indian Politician,Politician,,,India,,,,1966-01-01,,,,,
Ingrid Mcleod,Indian Politician,Politician,,,India,,,,1967-12-23,,Bilaspur,,,
Nandini Mukherjee,Indian Politician And Academic,Politician,University Of Manchester,,India,,,,,,,,,
Manochitra,Indian Actress,Actor,,,India,,,,1993-03-18,,Kanchipuram,,,
Priya,Indian Actress,Actor,,,India,,,,1970-03-21,,,,,
Gurbani Judge,"Actress, Model And Vj From India",Model,,,India,,,,1987-11-29,,Chandigarh,,,
Suzanne Bernert,Indian Actress,Actor,,,India,,,Akhil Mishra,1982-09-26,,Detmold,,,
Gayathrie,Indian Actress,Actor,,,India,,,,1993-05-02,,Bengaluru,,,
Aishwarya Devan,Indian Actress,Actor,,,India,,,,1993-12-21,,Bengaluru,,,
Saleema,Indian Actress,Actor,,,India,,,,1973-11-04,,Andhra Pradesh,,,
Shafna,Indian Actress,Actor,,,India,,,,1991-06-01,,Thiruvananthapuram,,,
Krithi Shetty,Actress,Actor,,,India,,,,2003-09-21,,Mangalore,,,
Suvarna Mathew,Actress,Actor,,,India,,,,,,Pala,,,
Manisha Yadav,Indian Actress,Actor,,,India,,,,1992-11-03,,Bengaluru,,,
Madhurima Tuli,Indian Actress,Actor,,,India,,,,1988-08-19,,Dhanbad,,,
Bhawana Somaaya,Indian Historian,Journalist,University Of Mumbai,,India,,,,1950-01-01,,,,,
Munmun Dutta,Indian Actress And Model,Actor,,,India,,,,1987-09-28,,Durgapur,,,
Anita Singh Gurjar,Indian Politician,Politician,,,India,,,,1971-01-01,,,,,
Lily Chakraborty,"Composer, Singer",Composer,,,India,,,,1972-01-15,,Kolkata,,,
Sushama Reddy,Indian Model,Model,Mithibai College,,India,,,,1973-08-02,,Hyderabad,,,
Debalina Majumder,Indian Film Director,Film Director,,,India,,,,1972-01-01,,,,,
Srinwanti Chakrabarti,Indian Dancer,Dancer,University Of Calcutta,,India,,,,1983-09-14,,Bardhaman,,,
Pariva Pranati,Indian Actress,Actor,,,India,,,,1983-03-18,,Patna,,,
Neeta Shah,Indian Writer,Novelist,,,India,,,,1981-01-02,,Mumbai,,,
Sushila Chanu,Indian Hockey Player,Field Hockey Player,,,India,,,,1992-02-25,,Manipur,,,
Sonia Singh,Indian Journalist,Journalist,St. Stephen'S College,,India,,,R. P. N. Singh,1970-01-01,,New Delhi,,,
Archana Taide,Indian Televion Actress,Actor,,,India,,,Ashish Sharma,,,Mumbai,,,
Monica Khanna,Indian Actress,Actor,University Of Delhi,,India,,,,1986-08-07,,,,,
Jugnu Ishiqui,Indian Actress,Actor,Sophia College For Women,,India,,,,1989-12-24,,Jamshedpur,,,
Kirti Nagpure,Indian Television Actress,Actor,,,India,,,,1987-01-23,,Pune,,,
Neha Saxena,Indian Actress,Actor,,,India,,,,1990-04-24,,Agra,,,
Isabelle Kaif,Indian Actor And Model,Model,,,India,,,,1986-03-22,,British Hong Kong,,,
Ashrita Shetty,Actress,Actor,,,India,,,,1992-07-16,,Mumbai,,,
Chandni Bhagwanani,Indian Actress,Actor,,,India,,,,,,,,,
Shamin Mannan,Indian Actress,Actor,,,India,,,,1991-06-11,,Assam,,,
Ishita Panchal,Indian Bollywood And Television Child Actress,Actor,,,India,,,,1998-12-01,,Mumbai,,,
Mridula Warrier,Indian Singer,Singer,,,India,,,,1987-05-03,,Kozhikode,,,
Vasantha Vaidyanathan,Indian Writer,Writer,,,India,,,,1937-00-00,2018-03-14,Mayiladuthurai,Colombo,,
Illindala Saraswati Devi,Telugu Writer Who Was Awarded Sahitya Akademi Award,Writer,,,India,,,,1918-01-01,1998-00-00,,,,
Bharti Shiyal,Indian Politician From Gujarat State,Politician,,,India,,,,1964-03-23,,Bhavnagar,,,
రేకందాస్ గుణవతి,Indian Actress,Actor,,,India,,,,1964-08-22,,,,,
பூர்ணிமா ஜெயராம்,Indian Actress,Actor,,,India,,,,,,,,,
Avanthika Mohan,Indian Actress,Actor,,,India,,,,1990-06-18,,Dubai,,,
Gita Sarabhai,Indian Musician,Musician,,,India,Ambalal Sarabhai,,,1922-00-00,2011-03-11,Ahmedabad,Ahmedabad,,
Shobha Nagi Reddy,Indian Politician,Politician,,,India,,,Bhuma Nagi Reddy,1968-11-16,2014-04-24,Andhra Pradesh,Hyderabad,,Traffic Collision
Malathi Chendur,Telugu Writer,Writer,,,India,,,,1928-12-26,2013-08-21,Nuzvid,Chennai,,
Geetanjali Thapa,Indian Actress,Actor,,,India,,,,1980-00-00,,Sikkim,,,
Kashmira Kakati,Indian Biologist And Zoologist,Biologist,Wildlife Institute Of India,,India,,,,1953-01-01,,Assam,,,
Archana Das,Indian Cricketer,Cricketer,,,India,,,,1988-07-21,,,,,
T. K. Kala,Indian Singer,Singer,,,India,,,,,,,,,
Shakthisree Gopalan,Singer,Singer,,,India,,,,1988-10-25,,Kochi,,,
Niharika Kareer,Indian Actress,Actor,,,India,,,,1989-11-07,,Delhi,,,
Omana Kunjamma,Indian Jurist,Jurist,,,India,,,,,,,,,
Anjali Parvati Koda,Indian Writer,Novelist,,,India,,,,,,,,,
Sowmya Mahadevan,Indian Singer,Singer,,,India,,,,,,,,,
Poonamben Madam,Indian Politician,Politician,Gujarat University,,India,,,,1974-08-23,,Jamnagar,,,
Jaya Menon,Indian Film Actress,Actor,,,India,,,,,,,,,
Jangiri Madhumitha,Actress,Actor,,,India,,,,1993-04-21,,Chennai,,,
Dipti Mehta,Indian Actress,Actor,,,United States Of America,,,,,,Ahmedabad,,,
Manoranjitham Nagaraj,Member Of The Tamil Nadu Legislative Assembly,Politician,,,India,,,,,,,,,
Amrita Mukherjee,Indian Television Child Actor,Actor,,,India,,,,2006-01-01,,West Bengal,,,
M. Narmadha,"Violinist,Vocalist , Musicologist,Doctorate In Indian Music,From 'Parur' A Place Near Allepy In Kerala",Violinist,,,India,,,,,,,,,
Joyce Paul Poursabahian,"Classical Dancer, Physiologist",Physiologist,Kalakshetra,,India,,,,,,New Delhi,,,
Lakshmi Sharma,Indian Actress,Actor,,,India,,,,1920-06-06,,Vijayawada,,,
Geetanjali Tikekar,Indian Television Actress.,Actor,,,India,,,,1961-03-18,,,,,
Sonali Sachdev,Indian Actress,Actor,,,India,,,,,,Mumbai,,,
Ushanandini,Indian Actress,Actor,,,India,,,,1949-11-09,,,,,
Salma,Indian Author,Author,,,India,,,,1972-01-01,,,,,
Niranjan Jyoti,Indian Politician,Politician,,,India,,,,1967-00-00,,Hamirpur,,,
Savani Ravindra,Singer,Actor,,,India,,,,1989-07-22,,Pune,,,
Kiara Advani,Indian Film Actress,Film Actor,,,India,,,,1992-07-31,,Mumbai,,,
Anukriti Gusain,"Indian Model, Television Host",Model,,,India,,,,1994-03-25,,Lansdowne,,,
Renuka Sinha,Indian Politician,Politician,University Of Calcutta,,India,,,,1949-03-05,2016-08-17,,,,
Anaswara Kumar,Model And Actress,Actor,"Women'S Christian College, Chennai",,India,,,,1994-01-01,,Chennai,,,
Gurkanwal Kaur,Indian Politician,Politician,,,India,Beant Singh,,,,,,,,
Sathyabama V,Member Parliament Of India,Politician,,,India,,,,1972-03-22,,Erode,,,
Gum Tayeng,Indian Politician,Politician,,,India,,,,,,Dambuk,,,
Meghna Pant,Indian Writer,Journalist,,,India,,,,,,Shimla,,,
Jaspinder Cheema,Indian Actress,Actor,,,India,,,,1989-08-12,,,,,
Jyotsna Chandola,Indian Model And Television Actress,Actor,,,India,,,,1992-04-15,,Kerala,,,
Sushila Rohatgi,Indian Politician,Politician,,,India,,,,1921-08-21,2011-04-09,,,,
Santoshi Matsa,Indian Weightlifter,Weightlifter,,,India,,,,1994-03-10,,,,,
Lako Phuti Bhutia,Indian Female Football Player,Association Football Player,,,India,,,,1994-10-20,,Sikkim,,,
Lalita,Indian Wrestler,Amateur Wrestler,,,India,,,,1994-06-14,,Hisar,,,
Vandna Gupta,Indian Female Weightlifter,Weightlifter,,,India,,,,1994-01-02,,Lucknow,,,
Jameela Malik,Indian Actress,Actor,Film And Television Institute Of India,,India,,,,1945-00-00,2020-01-28,Kollam,Thiruvananthapuram,,
Jyothi Lakshmi,Indian Actress,Film Actor,,,India,,,,1948-11-02,2016-08-08,Kanchipuram,Chennai,,
Keshda Mahant,Indian Writer,Writer,,,India,,,,,,,,,
Mehak Manwani,Indian Actress,Actor,,,India,,,,1996-12-04,,,,,
Shriswara,Indian Film Actress,Actor,,,India,,,,,,,,,
Bhuvaneswari,Indian Film Actress And Model,Actor,,,India,,,,1975-06-04,,Chittoor,,,
Acharya Chandana,Jain Sadhvi,Aryika,,,India,,,,1937-01-26,,Maharashtra,,,
Rupa Dash,Indian Entrepreneur And Filmmaker,,,,India,,,,,,Cuttack,,,
Arya Rohit,"Indian Film Actress, Model, And Television Presenter",Actor,,Malayalam,India,,,,1990-09-13,,Thiruvananthapuram,,,
Varsha Varman,Indian Sport Shooter,Sport Shooter,Harvard College,,India,,,,1994-06-01,,Bhopal,,,
Chitra Dutta,Indian Bioinformatician,Bioinformatician,Visva-Bharati University,,India,,,,,,,,,
Alka Nupur,Indian Actress,Actor,,,India,,,,,,Aligarh,,,
Anahita Uberoi,Indian Actor,Actor,"St. Xavier'S College, Mumbai",,India,,Vijaya Mehta,,1967-00-00,,Mumbai,,,
Mami Varte,Indian Singer,Singer,,,India,,,,1988-04-19,,Aizawl,,,
Divya Prabha,Indian Actress,Actor,,,India,,,,1991-05-18,,Thrissur,,,
Vidya Subrahmaniam,Indian Author,Author,,,India,,,,1957-01-01,,,,,
Kamala Sinha,Indian Politician And Diplomat,Diplomat,,,India,,,,1932-09-30,2014-12-31,Dhaka,Syracuse,,
Roopa Revathi,Indian Singer,Singer,,Malayalam,India,,,,1984-05-21,,Ernakulam,,,
Chithra Priya,Indian Racing Driver,Motorcycle Racer,,,India,,,,1984-03-30,,Chennai,,,
Pushpa Bhuyan,Indian Classical Dancer,Dancer,,,India,,,,1946-00-00,2015-10-07,"Jorhat, Assam",New Delhi,,
Parveena Ahanger,Indian Activist,Activist,,,India,,,,1950-00-00,,Srinagar,,,
Anju Sharma,Indian Writer,Writer,,,India,,,,,,,,,
Sonal Parihar,Actor,Actor,,,India,,,,,,,,,
Anubha Bhonsle,Tv Journalist,Journalist,,,India,,,,1978-04-03,,,,,
Narmada Kar,The First Women Graduate Of Odisha,,,,India,Visvanath Kar,,,1893-10-12,1980-09-13,Cuttack,Kolkata,,
Leslie Tripathy,Indian Actress,Actor,,,India,,,,1990-06-26,,Kendrapara,,,
Neera Yadav,Indian Politician,Politician,Ranchi University,,India,,,,1971-01-01,,,,,
Priyanka Meghwal,Indian Politician,Politician,,,India,,,,,,,,,
Ishita Ganguly,Indian Television Actress,Actor,,,India,,,,,,,,,
Suhasini Chattopadhyay,Indian Freedom Fighter And Politician,Politician,,,India,,,A. C. N. Nambiar,1901-01-01,1973-00-00,,,,
Eden,Indian Film Actress,Actor,,,India,,,,1991-05-01,,Kerala,,,
Radhika Madan,Indian Actress,Actor,University Of Delhi,,India,,,,1995-05-01,,Pitam Pura,,,
Shriya Pilgaonkar,Actress,Actor,,,India,Sachin,Supriya Pilgaonkar,,1989-04-25,,Mumbai,,,
Bhavna Vyas,"Story, Screenplay & Dialogue Writer",Screenwriter,,,India,,,,1983-07-23,,Bhopal,,,
Anita Chowdhary,"Indian Actress, Tv Host",Actor,,,India,,,,,,,,,
Manon De Boer,Artist,Film Director,Willem De Kooning Academy,,India,,,,1966-01-01,,Kodaikanal,,,
Indulata Sukla,Indian Mathematician,Mathematician,Ravenshaw College,Odia,India,,,Ananta Charan Sukla,1944-03-07,,Baripada,,,
Shiny Doshi,Indian Television Actress,Actor,,,India,,,,1989-09-15,,Delhi,,,
Aloo Jal Chibber,Indian Politician,Politician,,,India,,,,,,,,,
Lehar Khan,Indian Actor,Actor,,,India,,,,1999-07-04,,,,,
Farida Abdulla Khan,Indian Academic,,Panjab University,,India,,,,1951-07-12,,Punjab,,,
Nisha Pahuja,Independent Canadian Filmmaker,Filmmaker,,,India,,,,1978-06-03,,New Delhi,,,
Ameera Shah,Indian Entrepreneur,Businessperson,University Of Texas At Austin,,India,,,,1979-09-00,,Mumbai,,,
Arushi Nishank,"An Internationally Acclaimed Indian Classical Kathak Danseuse, Entrepreneur And A Poetess",Dancer,,,India,,,,1986-09-17,,Kotdwar,,,
Elizabeth Koshy,Indian Sport Shooter,Sport Shooter,,,India,,,,1996-03-31,,Kochi,,,
Dr. Madhulika S,,,,,India,,,,1977-02-02,,Hyderabad,,,
Meera Deepak Yadav,Indian Politician,Politician,,,India,,,,,,Chhatarpur,,,
Yashoda Devi,Politician,Politician,,,India,,,,1927-00-00,2004-00-00,,,,
Ramya Iyer,Indian Singer-Songwriter,Singer-Songwriter,,,India,,,,1982-01-09,,Kolkata,,,
Queen Hazarika,Indian Playback Singer And Actress From Assam.,Singer,,,India,,,,1976-10-16,,North Lakhimpur,,,
Amrita Chaudhry,Indian Journalist,Journalist,,,India,,,,1971-01-01,2012-10-22,Jalandhar,Ludhiana,,
Aditi Chauhan,Indian Female Football Player,Association Football Player,Loughborough University,,India,,,,1992-11-20,,India,,,
सोनाली खरे,Indian Actress,Actor,,,India,,,,,,,,,
నాగమణి,Indian Actress,Actor,,,India,,,,1959-01-01,,,,,
Nitasha Kaul,Indian Economist And Writer,Economist,University Of Delhi,,India,,,,1976-00-00,,Kashmir,,,
രശ്മി സതീഷ്,Indian Singer,Singer,,,India,,,,,,,,,
Sunita Lakra,Indian Hockey Player,Field Hockey Player,,Odia,India,,,,1991-06-11,,Odisha,,,
Indira Miri,Indian Educationist,Academic,University Of Edinburgh,,India,,,,1910-00-00,2004-09-05,Shillong,,,
Aditi Bhagwat,Indian Actress,Actor,,,India,,,,1981-01-18,,Mumbai,,,
Parul Gulati,Indian Actress,Actor,,,India,,,,1990-08-06,,Rohtak,,,
Pragya Jaiswal,Indian Actress,Actor,,,India,,,,1991-01-12,,Jabalpur,,,
Ranya Rao,Indian Actress And Model,Actor,,,India,,,,1993-05-28,,Chikkamagaluru District,,,
Mamata Thakur,Indian Politician,Politician,,,India,,,,1967-05-15,,Chandrapur District,,,
Kiran Manisha Mohanty,Indian Chess Player,Chess Player,,,India,,,,1989-04-09,,Bhubaneswar,,,
Shalmalee Desai,Indian Actor,Actor,,,India,,,Avinash Sachdev,1989-03-17,,Pune,,,
Hamida Salim,Indian Writer And Poet,Writer,,,India,,,,1922-01-01,2015-08-16,,,,
Shyam Kumari Khan,Indian Freedom Fighter,Politician,Allahabad University,,India,Shamlal Nehru,Uma Nehru,,1904-10-20,1980-06-09,,,,
Sapana Sapana,Indian Female Racewalker,Racewalker,,,India,,,,1988-01-02,,Jaipur,,,
Seema Rahmani,Actress,Actor,,,India,,,,1969-12-03,,Kuwait,,,
Soonu Maneck Kochar,Diplomática India (1934–2014),Diplomat,Somerville College,,India,,,,1934-00-00,2014-01-13,,,,
Lagnajita Chakraborty,Indian Playback Singer.,Singer,,,India,,,,,,,,,
Suchitra Mohapatra,Odia Singer And Teacher,Singer,,Odia,India,,,,,2015-08-31,,,,
Shobhona Sharma,Indian Molecular Parasitologist,Biologist,Tata Institute Of Fundamental Research,,India,,,,1953-02-05,,,,,
Neha Khan,Indian Model And Actress,Model,,,India,,,,1995-08-13,,Amravati,,,
Kamla Pant,"Feminist, Politician, And Activist",Activist,Kumaun University,,India,,,,1956-12-18,,,,,
Laxmirani Majhi,Indian Archer,Archer,,,India,,,,1989-01-26,,Bagula,,,
Anita Agnihotri,Indian Bengali Writer And Civil Servant,Civil Servant,University Of Calcutta,Bengali,India,,,,1956-01-01,,Kolkata,,,
Kahkashan Perween,Indian Politician,Politician,,,India,,,,1979-01-01,,,,,
Ruhi Singh,"Indian Actress, Model, And Former Miss India",Actor,University Of Rajasthan,,India,,,,1991-00-00,,Jaipur,,,
Suhana Khan,Indian Model And Actress,Model,Dhirubhai Ambani International School,,India,Shah Rukh Khan,Gauri Khan,,2000-05-22,,Mumbai,,,
Wansuk Syiem,Indian Politician,Politician,,,India,,,,1956-06-25,,Shillong,,,
Suruchi Adarkar,Indian Actress,Actor,,,India,,,,1988-04-25,,Thane,,,
Rosamma Mathew,Indian Herpetologist,Herpetologist,,,India,,,,,,,,,
Amisha Sethi,Indian Author,Novelist,,,India,,,,1980-08-30,,Rajkot,,,
Nilima Sheikh,Indian Painter,Painter,,,India,,,,1945-01-01,,Delhi,,,
Supriya Aiman,"Indian Actress And Model, Miss India International 2015",Model,,,India,,,,1990-09-19,,Patna,,,
Hema Bharali,Indian Freedom Activist,Academic,,,India,,,,1919-02-19,2020-04-29,Assam,Assam,,
Priyambada Mohanty Hejmadi,Indian Biologist And Dancer,Dancer,,Odia,India,,,,1939-11-18,,,,,
Varijashree Venugopal,Compositora De Cantares India,Songwriter,,,India,,,,1991-03-06,,Bengaluru,,,
Namrata Thapa,Indian Actress,Actor,,,India,,,,1986-08-09,,Delhi,,,
Nishigandha Kunte,Indian Model,Model,,,India,,,,1992-08-21,,Pune,,,
Mahika Sharma,Indian Actress And Social Worker,Actor,,,India,,,,1994-07-26,,Tinsukia,,,
Vinodhini,Indian Actress,Actor,,,India,,,,,,,,,
Vimla Batham,Indian Politician,Politician,Chhatrapati Shahu Ji Maharaj University,,India,,,,1951-12-06,,Gautam Buddh Nagar District,,,
Jaya Ojha,Indian Actress And Singer,Actor,,,India,,,,1953-01-01,,Sri Ganganagar,,,
Paramjit Khurana,Indian Biochemist,Biochemist,University Of Delhi,,India,,,,1956-08-15,,,,,
Mehrunnisa Parvez,Writer,Writer,,,India,,,,1944-12-10,,,,,
Meeta Pandit,Indian Singer,Singer,,,India,,,,1974-09-14,,New Delhi,,,
Rupali Krishnarao,Indian Actor,Actor,,,India,,,,,,,,,
Meghna Nair,Indian Film Actress,Actor,,,India,,,,1989-00-00,,Alappuzha,,,
Roza Vidyadhar Deshpande,Indian Politician,Politician,,,India,,,,1929-00-00,2020-09-19,,,,
Sarika Kapoor,Indian Singer,Singer,,,India,,,,,,,,,
Karuna Sukka,Indian Printmaker And Painter,Painter,,,India,,,,1980-11-20,,Hyderabad,,,
